country,city,latitude,longitude,temp,temp_min,temp_max,pressure,humidity,sea_level,ground_level,wind_speed,wind_degree,sunrise,sunset,rain_1h,rain_3h,timezone,cloud,description,region,population
NG,Agbabu,6.41,4.8,305.84,305.84,305.84,1010,57,1010,1008,1.61,232,1708494969,1708537990,,,3600,54,broken clouds,Ondo,17624
NG,Ilare,7.41,5.06,303.76,303.76,303.76,1010,58,1010,972,1.86,229,1708494953,1708537882,,,3600,58,broken clouds,Ondo,41779
NG,Ilare,7.41,5.06,303.76,303.76,303.76,1010,58,1010,972,1.86,229,1708494953,1708537882,,,3600,58,broken clouds,Ondo,41779
NG,Alodifi,7.27,5.28,304.09,304.09,304.09,1010,57,1010,973,1.92,222,1708494894,1708537835,,,3600,70,broken clouds,Ondo,81310
NG,Alodifi,7.08,5.36,304.31,304.31,304.31,1010,57,1010,981,1.93,223,1708494866,1708537825,,,3600,56,broken clouds,Ondo,10145
NG,Omuo-Ekiti,7.53,5.78,303.46,303.46,303.46,1010,57,1010,969,2.89,227,1708494786,1708537703,,,3600,71,broken clouds,Ondo,169311
NG,Agbabu,6.36,4.86,305.82,305.82,305.82,1010,57,1010,1009,1.7,231,1708494953,1708537978,,,3600,60,broken clouds,Ondo,21767
NG,Idanre,7.03,5.23,304.45,304.45,304.45,1010,57,1010,983,1.78,224,1708494895,1708537858,,,3600,59,broken clouds,Ondo,7152
NG,Ondo,6.96,4.72,305.04,305.04,305.04,1010,57,1010,993,1.6,223,1708495014,1708537984,,,3600,63,broken clouds,Ondo,8046
NG,Agbabu,6.46,4.63,305.6,305.6,305.6,1010,59,1010,1009,1.66,231,1708495012,1708538029,,,3600,57,broken clouds,Ondo,19096
NG,Agbabu,6.46,4.63,305.6,305.6,305.6,1010,59,1010,1009,1.66,231,1708495012,1708538029,,,3600,57,broken clouds,Ondo,19096
NG,Agbabu,6.45,4.8,305.92,305.92,305.92,1010,57,1010,1007,1.51,234,1708494971,1708537988,,,3600,51,broken clouds,Ondo,55932
NG,Agbabu,6.35,4.66,304.79,304.79,304.79,1010,63,1010,1009,1.92,230,1708495000,1708538026,,,3600,60,broken clouds,Ondo,20931
NG,Agbabu,6.38,4.52,303.99,303.99,303.99,1010,67,1010,1009,2,231,1708495035,1708538059,,,3600,66,broken clouds,Ondo,14263
NG,Agbabu,6.46,4.62,305.56,305.56,305.56,1010,59,1010,1009,1.67,231,1708495015,1708538031,,,3600,58,broken clouds,Ondo,19752
NG,Idanre,7.04,5.08,303.58,303.58,303.58,1010,57,1010,968,1.72,225,1708494931,1708537894,,,3600,52,broken clouds,Ondo,7152
NG,Idanre,7.04,5.09,303.43,303.43,303.43,1010,57,1010,966,1.72,225,1708494929,1708537892,,,3600,52,broken clouds,Ondo,7152
NG,Idanre,7.03,5.06,304.65,304.65,304.65,1010,57,1010,986,1.7,225,1708494935,1708537899,,,3600,51,broken clouds,Ondo,7165
NG,Idanre,7.06,5.14,304.26,304.26,304.26,1010,57,1010,979,1.76,224,1708494918,1708537879,,,3600,55,broken clouds,Ondo,7152
NG,Agbabu,6.47,4.6,305.6,305.6,305.6,1010,58,1010,1009,1.68,231,1708495020,1708538035,,,3600,59,broken clouds,Ondo,19496
NG,Agbabu,6.5,4.83,306.17,306.17,306.17,1010,56,1010,1009,1.39,237,1708494966,1708537979,,,3600,49,scattered clouds,Ondo,111194
NG,Owo,7.14,5.46,304.08,304.08,304.08,1010,57,1010,978,2.11,222,1708494844,1708537798,,,3600,56,broken clouds,Ondo,6835
NG,Agbabu,6.46,4.75,305.89,305.89,305.89,1010,57,1010,1007,1.47,234,1708494984,1708538000,,,3600,47,scattered clouds,Ondo,63344
NG,Emure-Ekiti,7.3,5.47,303.7,303.7,303.7,1010,57,1010,972,2.24,221,1708494849,1708537788,,,3600,66,broken clouds,Ondo,8102
NG,Agbabu,6.42,4.86,306.01,306.01,306.01,1010,57,1010,1009,1.58,233,1708494955,1708537975,,,3600,56,broken clouds,Ondo,18983
NG,Agbabu,6.35,4.8,305.74,305.74,305.74,1010,58,1010,1009,1.78,230,1708494967,1708537993,,,3600,58,broken clouds,Ondo,20949
NG,Agbabu,6.31,4.79,305.6,305.6,305.6,1010,58,1010,1009,1.91,229,1708494967,1708537997,,,3600,60,broken clouds,Ondo,22201
NG,Agbabu,6.65,4.73,305.86,305.86,305.86,1010,56,1010,1004,1.4,232,1708494997,1708537996,,,3600,57,broken clouds,Ondo,15555
NG,Agbabu,6.57,4.64,305.93,305.93,305.93,1010,56,1010,1007,1.5,231,1708495015,1708538021,,,3600,57,broken clouds,Ondo,16837
NG,Agbabu,6.41,4.75,305.74,305.74,305.74,1010,57,1010,1008,1.63,231,1708494981,1708538002,,,3600,51,broken clouds,Ondo,17448
NG,Agbabu,6.43,4.89,306,306,306,1010,56,1010,1008,1.55,234,1708494949,1708537968,,,3600,57,broken clouds,Ondo,19756
NG,Alodifi,7.25,5.44,303.75,303.75,303.75,1010,57,1010,973,2.19,219,1708494854,1708537798,,,3600,64,broken clouds,Ondo,6459
NG,Agbabu,6.51,4.74,305.88,305.88,305.88,1010,57,1010,1005,1.36,235,1708494988,1708538000,,,3600,46,scattered clouds,Ondo,100382
NG,Agbabu,6.44,4.77,305.81,305.81,305.81,1010,57,1010,1007,1.53,233,1708494978,1708537996,,,3600,50,scattered clouds,Ondo,48808
NG,Agbabu,6.35,4.6,304.24,304.24,304.24,1010,66,1010,1009,1.98,231,1708495015,1708538041,,,3600,62,broken clouds,Ondo,18417
NG,Idanre,7.09,5.11,303.86,303.86,303.86,1010,57,1010,972,1.76,225,1708494926,1708537884,,,3600,54,broken clouds,Ondo,7152
NG,Ondo,6.96,4.86,304.31,304.31,304.31,1010,57,1010,981,1.61,224,1708494980,1708537950,,,3600,57,broken clouds,Ondo,8850
NG,Ondo,6.96,4.86,304.31,304.31,304.31,1010,57,1010,981,1.61,224,1708494980,1708537950,,,3600,57,broken clouds,Ondo,8850
NG,Alodifi,7.2,5.26,304.13,304.13,304.13,1010,57,1010,974,1.86,222,1708494895,1708537843,,,3600,67,broken clouds,Ondo,68124
NG,Ore,6.92,4.88,304.7,304.7,304.7,1010,57,1010,987,1.59,225,1708494974,1708537948,,,3600,55,broken clouds,Ondo,10710
NG,Agbabu,6.31,4.66,304.47,304.47,304.47,1010,64,1010,1008,2.03,230,1708494998,1708538028,,,3600,61,broken clouds,Ondo,21004
NG,Ifon,6.85,5.76,305.32,305.32,305.32,1010,57,1010,999,2.04,240,1708494759,1708537740,,,3600,80,broken clouds,Ondo,11201
NG,Ondo State,7.13,5.05,304.47,304.47,304.47,1010,57,1010,982,1.78,226,1708494942,1708537897,,,3600,49,scattered clouds,Ondo,7395
NG,Ilare,7.37,5.18,303.58,303.58,303.58,1010,57,1010,966,1.91,228,1708494922,1708537855,,,3600,70,broken clouds,Ondo,58321
NG,Owo,7.14,5.6,303.93,303.93,303.93,1010,57,1010,978,2.36,224,1708494811,1708537765,,,3600,62,broken clouds,Ondo,50384
NG,Alodifi,7.15,5.32,303.97,303.97,303.97,1010,57,1010,974,1.92,222,1708494879,1708537831,,,3600,62,broken clouds,Ondo,13017
NG,Ikere-Ekiti,7.39,5.26,303.81,303.81,303.81,1010,57,1010,969,1.97,228,1708494904,1708537835,,,3600,80,broken clouds,Ondo,12783
NG,Agbabu,6.55,4.65,305.8,305.8,305.8,1010,56,1010,1005,1.49,232,1708495012,1708538020,,,3600,56,broken clouds,Ondo,16837
NG,Siluko,6.35,5.02,305.98,305.98,305.98,1010,56,1010,1008,1.59,231,1708494914,1708537940,,,3600,66,broken clouds,Ondo,15632
NG,Siluko,6.35,5.02,305.98,305.98,305.98,1010,56,1010,1008,1.59,231,1708494914,1708537940,,,3600,66,broken clouds,Ondo,15632
NG,Omuo-Ekiti,7.53,5.75,303.02,303.02,303.02,1010,58,1010,962,2.87,227,1708494793,1708537711,,,3600,67,broken clouds,Ondo,231331
NG,Omuo-Ekiti,7.53,5.75,303.02,303.02,303.02,1010,58,1010,962,2.87,227,1708494793,1708537711,,,3600,67,broken clouds,Ondo,231331
NG,Omuo-Ekiti,7.61,5.86,303.44,303.44,303.44,1010,57,1010,966,2.76,230,1708494770,1708537681,,,3600,80,broken clouds,Ondo,23492
NG,Omuo-Ekiti,7.62,5.87,303.42,303.42,303.42,1010,56,1010,966,2.74,230,1708494768,1708537678,,,3600,81,broken clouds,Ondo,25080
NG,Ilare,7.35,5.15,303.64,303.64,303.64,1010,57,1010,967,1.89,227,1708494928,1708537863,,,3600,65,broken clouds,Ondo,92268
NG,Agbabu,6.51,4.69,305.93,305.93,305.93,1010,57,1010,1007,1.44,233,1708495000,1708538012,,,3600,51,broken clouds,Ondo,16837
NG,Agbabu,6.31,4.88,305.73,305.73,305.73,1010,57,1010,1008,1.78,229,1708494946,1708537975,,,3600,64,broken clouds,Ondo,22201
NG,Owo,7.37,5.78,303.84,303.84,303.84,1010,57,1010,977,2.93,225,1708494778,1708537711,,,3600,73,broken clouds,Ondo,20391
NG,Akure,7.32,5.24,304.08,304.08,304.08,1010,57,1010,973,1.9,225,1708494906,1708537843,,,3600,74,broken clouds,Ondo,72986
NG,Alodifi,7.2,5.27,304.07,304.07,304.07,1010,57,1010,973,1.87,222,1708494893,1708537841,,,3600,66,broken clouds,Ondo,43093
NG,Agbabu,6.6,4.6,305.77,305.77,305.77,1010,56,1010,1004,1.52,231,1708495026,1708538029,,,3600,60,broken clouds,Ondo,15539
NG,Owo,7.17,5.57,303.74,303.74,303.74,1010,57,1010,975,2.35,222,1708494819,1708537770,,,3600,61,broken clouds,Ondo,118292
